A.J. Cole,P,6-4,220,11/27/1995 (28),6
Adam Butler,DT,6-5,300,4/12/1994 (30),6
Aidan O'Connell,QB,6-3,210,9/1/1998 (25),2
Alex Bachman,WR,6-0,190,5/29/1996 (28),1
Alexander Mattison,RB,5-11,220,6/19/1998 (26),6
Amari Burney,LB,6-2,228,6/19/2000 (24),2
Amari Gainer,LB,6-3,235,—,R
Ameer Abdullah,RB,5-9,203,6/13/1993 (31),10
Andre James,C,6-4,300,5/2/1997 (27),6
Andrew Coker,OL,6-7,315,3/23/2001 (23),R
Andrus Peat,OG,6-7,316,11/4/1993 (30),10
Anthony Brown,QB,6-1,223,7/27/1998 (25),1
Ben Brown,C,6-5,312,5/19/1998 (26),2
Brandon Facyson,DB,6-2,197,9/8/1994 (29),7
Brittain Brown,RB,6-1,205,10/10/1997 (26),3
Brock Bowers,TE,6-4,230,12/13/2002 (21),R
Byron Young,DT,6-3,292,11/10/2000 (23),2
Carter Bradley,QB,6-3,216,3/9/2000 (24),R
Charles Snowden,DE,6-7,245,3/27/1998 (26),1
Christian Wilkins,DT,6-4,310,12/20/1995 (28),6
Christopher Smith,SS,5-11,195,5/1/2000 (24),2
Clark Barrington,OL,6-5,306,—,R
Cody Whitehair,C,6-3,316,7/11/1992 (32),9
Cole Fotheringham,TE,6-4,243,10/11/1997 (26),1
Cornell Armstrong,DB,6-0,185,9/22/1995 (28),5
DJ Turner,WR,5-9,206,1/18/1997 (27),3
Dalton Wagner,OT,6-8,320,10/5/1998 (25),2
Daniel Carlson,K,6-5,215,1/23/1995 (29),7
Darien Butler,LB,6-0,225,2/29/2000 (24),3
Davante Adams,WR,6-1,215,12/24/1992 (31),11
David Agoha,DE,6-4,252,5/18/2001 (23),1
Decamerion Richardson,CB,6-2,195,3/16/2001 (23),R
Delmar Glaze,OL,6-5,323,—,R
Demarcus Governor,DB,5-10,190,—,R
Divine Deablo,LB,6-3,223,8/17/1998 (25),4
Dylan Laube,RB,5-10,208,12/14/1999 (24),R
Dylan Parham,OG,6-3,285,8/24/1999 (24),3
E SmithElerson,DE,6-7,245,7/17/1998 (25),3
Gardner Minshew,QB,6-1,225,5/16/1996 (28),6
Harrison Bryant,TE,6-5,230,4/23/1998 (26),5
Isaiah Pola-Mao,SAF,6-4,205,6/30/1999 (25),3
J ShenkerJohn,TE,6-3,242,9/2/1998 (25),1
Ja'Quan Sheppard,DB,6-2,202,—,R
Jack Jones,CB,5-11,175,12/20/1997 (26),3
Jackson Powers-Johnson,C,6-3,334,1/23/2003 (21),R
Jacob Bobenmoyer,LS,6-2,235,5/28/1997 (27),5
Jacob Johanning,OG,6-2,290,—,R
Jakobi Meyers,WR,6-2,200,11/9/1996 (27),6
Jakorian Bennett,DB,5-11,195,8/23/2000 (23),2
Jalen Guyton,WR,6-1,212,6/7/1997 (27),5
Jalen McKenzie,OT,6-5,315,7/10/1999 (25),1
Janarius Robinson,DE,6-5,260,5/4/1998 (26),4
Jaydon Grant,SAF,6-0,190,6/15/1998 (26),1
Jeff Foreman,WR,6-0,186,12/26/1999 (24),R
John Jenkins,DT,6-3,327,7/11/1989 (35),12
Jordan Meredith,OG,6-2,300,1/4/1998 (26),2
Kana'i Mauga,ILB,6-2,245,1/8/2000 (24),2
Kolton Miller,OT,6-8,325,10/9/1995 (28),7
Kristian Wilkerson,WR,6-1,214,1/10/1997 (27),3
Lideatrick Griffin,WR,5-10,180,1/23/2001 (23),R
Luke Masterson,LB,6-1,220,1/7/1998 (26),3
M.J. Devonshire,DB,5-11,179,9/12/2000 (23),R
Malcolm Koonce,DE,6-2,250,6/6/1998 (26),4
Marcus Epps,SAF,6-0,191,1/27/1996 (28),6
Marquan McCall,DT,6-3,345,3/26/1999 (25),2
Matthew Butler,DT,6-3,290,6/10/1999 (25),2
Maxx Crosby,DE,6-5,255,8/22/1997 (26),6
Michael Gallup,WR,6-1,205,3/4/1996 (28),7
Michael Mayer,TE,6-4,265,7/6/2001 (23),2
N SilveraNesta,DT,6-2,315,1/23/2000 (24),2
Nate Hobbs,CB,6-1,195,6/24/1999 (25),4
Noah Shannon,DL,6-1,300,3/16/2000 (24),R
Phalen Sanford,DB,5-11,195,12/9/1999 (24),R
Ramel Keyton,WR,6-3,197,9/14/2000 (23),R
Rayshad Williams,DB,6-2,209,—,R
Robert Spillane,LB,6-1,229,12/14/1995 (28),6
Ron Stone Jr.,DE,6-3,246,—,R
Sam Webb,CB,6-2,195,5/19/1998 (26),2
Sincere McCormick,RB,5-9,205,9/10/2000 (23),2
TJ Franklin,DT,6-5,257,—,R
Thayer Munford,OT,6-6,315,9/18/1999 (24),3
Tomari Fox,DL,6-2,288,—,R
Tommy Eichenberg,LB,6-2,239,1/11/2001 (23),R
Tre Tucker,WR,5-9,185,3/8/2001 (23),2
Trevon Moehrig,SAF,6-2,202,6/16/1999 (25),4
Trey Taylor,SAF,6-0,213,1/30/2001 (23),R
Tyree Wilson,DE,6-6,275,5/20/2000 (24),2
Tyreik McAllister,WR,5-11,180,4/7/1998 (26),1
Will Putnam,C,6-4,310,8/13/2000 (23),R
Zach Gentry,TE,6-8,265,9/10/1996 (27),5
Zamir White,RB,6-0,215,9/18/1999 (24),3
